fecha,IdEmp,numAula,numSemestre,dia,hora_ini,hora_fin
13/05/2013,8950,1,1,1,07:00,08:30
13/05/2013,2961,2,1,1,07:00,08:30
13/05/2013,7955,3,1,1,07:00,08:30
13/05/2013,7763,4,1,1,07:00,08:30
13/05/2013,6341,5,1,1,07:00,08:30
13/05/2013,905,6,1,1,07:00,08:30
13/05/2013,2575,6,1,1,07:00,08:30
13/05/2013,2796,6,1,1,07:00,08:30
13/05/2013,9086,7,1,1,07:00,08:30
13/05/2013,8182,8,1,1,07:00,08:30
13/05/2013,6822,9,1,1,07:00,08:30
13/05/2013,7969,10,1,1,07:00,08:30
13/05/2013,8989,11,1,1,07:00,08:30
13/05/2013,8455,12,1,1,07:00,08:30
13/05/2013,2170,13,1,1,07:00,08:30
13/05/2013,8692,14,1,1,07:00,08:30
13/05/2013,2941,15,1,1,07:00,08:30
13/05/2013,7117,16,1,1,07:00,08:30
13/05/2013,8182,17,1,1,07:00,08:30
13/05/2013,2482,18,1,1,07:00,08:30
13/05/2013,9108,19,1,1,07:00,08:30
13/05/2013,8281,19,1,1,07:00,08:30
13/05/2013,6178,20,1,1,07:00,08:30
13/05/2013,6556,21,1,1,07:00,08:30
13/05/2013,6870,22,1,1,07:00,08:30
13/05/2013,3938,23,1,1,07:00,08:30
13/05/2013,8182,24,1,1,07:00,08:30
13/05/2013,8182,25,1,1,07:00,08:30
13/05/2013,2780,26,1,1,07:00,08:30
13/05/2013,8461,27,1,1,07:00,08:30
13/05/2013,1737,28,1,1,07:00,08:30
14/05/2013,8461,1,1,2,07:00,08:30
14/05/2013,2796,2,1,2,07:00,08:30
14/05/2013,7969,3,1,2,07:00,08:30
14/05/2013,8261,4,1,2,07:00,08:30
14/05/2013,905,4,1,2,07:00,08:30
14/05/2013,7763,4,1,2,07:00,08:30
14/05/2013,8182,5,1,2,07:00,08:30
14/05/2013,8182,6,1,2,07:00,08:30
14/05/2013,8177,7,1,2,07:00,08:30
14/05/2013,8455,8,1,2,07:00,08:30
14/05/2013,2575,8,1,2,07:00,08:30
14/05/2013,8726,8,1,2,07:00,08:30
14/05/2013,9086,9,1,2,07:00,08:30
14/05/2013,6178,10,1,2,07:00,08:30
14/05/2013,6822,11,1,2,07:00,08:30
14/05/2013,2170,12,1,2,07:00,08:30
14/05/2013,2941,13,1,2,07:00,08:30
14/05/2013,9105,14,1,2,07:00,08:30
14/05/2013,9116,15,1,2,07:00,08:30
14/05/2013,1234,16,1,2,07:00,08:30
14/05/2013,6313,17,1,2,07:00,08:30
14/05/2013,8182,18,1,2,07:00,08:30
14/05/2013,8182,19,1,2,07:00,08:30
14/05/2013,8281,20,1,2,07:00,08:30
14/05/2013,9108,20,1,2,07:00,08:30
14/05/2013,6996,21,1,2,07:00,08:30
14/05/2013,6691,22,1,2,07:00,08:30
14/05/2013,8989,23,1,2,07:00,08:30
14/05/2013,2891,24,1,2,07:00,08:30
14/05/2013,3938,25,1,2,07:00,08:30
14/05/2013,8182,26,1,2,07:00,08:30
14/05/2013,8991,27,1,2,07:00,08:30
14/05/2013,1654,28,1,2,07:00,08:30
16/05/2013,8950,1,1,4,07:00,08:30
16/05/2013,2961,2,1,4,07:00,08:30
16/05/2013,9116,3,1,4,07:00,08:30
16/05/2013,9108,4,1,4,07:00,08:30
16/05/2013,8281,4,1,4,07:00,08:30
16/05/2013,8177,5,1,4,07:00,08:30
16/05/2013,6556,6,1,4,07:00,08:30
16/05/2013,8991,7,1,4,07:00,08:30
16/05/2013,7955,8,1,4,07:00,08:30
16/05/2013,8461,9,1,4,07:00,08:30
16/05/2013,7969,10,1,4,07:00,08:30
16/05/2013,9105,11,1,4,07:00,08:30
16/05/2013,6178,12,1,4,07:00,08:30
16/05/2013,2170,13,1,4,07:00,08:30
16/05/2013,8182,14,1,4,07:00,08:30
16/05/2013,8989,15,1,4,07:00,08:30
16/05/2013,1234,16,1,4,07:00,08:30
16/05/2013,8726,17,1,4,07:00,08:30
16/05/2013,905,17,1,4,07:00,08:30
16/05/2013,2575,17,1,4,07:00,08:30
16/05/2013,6691,18,1,4,07:00,08:30
16/05/2013,6313,19,1,4,07:00,08:30
16/05/2013,8455,20,1,4,07:00,08:30
16/05/2013,2941,21,1,4,07:00,08:30
16/05/2013,2796,22,1,4,07:00,08:30
16/05/2013,3938,23,1,4,07:00,08:30
16/05/2013,8692,24,1,4,07:00,08:30
16/05/2013,2482,25,1,4,07:00,08:30
16/05/2013,2780,26,1,4,07:00,08:30
16/05/2013,9086,27,1,4,07:00,08:30
16/05/2013,6870,28,1,4,07:00,08:30
17/05/2013,2482,1,1,5,07:00,08:30
17/05/2013,9086,2,1,5,07:00,08:30
17/05/2013,7955,3,1,5,07:00,08:30
17/05/2013,6178,4,1,5,07:00,08:30
17/05/2013,1737,5,1,5,07:00,08:30
17/05/2013,2575,6,1,5,07:00,08:30
17/05/2013,7969,7,1,5,07:00,08:30
17/05/2013,8182,8,1,5,07:00,08:30
17/05/2013,8989,9,1,5,07:00,08:30
17/05/2013,8182,10,1,5,07:00,08:30
17/05/2013,8950,11,1,5,07:00,08:30
17/05/2013,9107,12,1,5,07:00,08:30
17/05/2013,8281,13,1,5,07:00,08:30
17/05/2013,9108,13,1,5,07:00,08:30
17/05/2013,2796,14,1,5,07:00,08:30
17/05/2013,7763,14,1,5,07:00,08:30
17/05/2013,8990,14,1,5,07:00,08:30
17/05/2013,9116,15,1,5,07:00,08:30
17/05/2013,8182,16,1,5,07:00,08:30
17/05/2013,6341,17,1,5,07:00,08:30
