horario,dia,nombre_materia,claveempleado,,
10,3,2º3ª descarga,6526,,descarga
10,4,2º3ª descarga,577,,descarga
11,1,2º4ª descarga,6741,,descarga
13,1,2º4ª descarga,7582,,descarga
12,1,2º5ª descarga,6741,,descarga
11,2,2º5ª descarga,577,,descarga
11,5,2º5ª descarga,838,,descarga
15,4,2º5ª descarga,6198,,descarga
16,4,2º6ª descarga,2643,,descarga
11,2,2º6ª descarga,2473,,descarga
13,1,2º6ª descarga,9033,,descarga
14,1,2º7ª descarga,7582,,descarga
11,4,2º7ª descarga,6526,,descarga
12,2,2º8ª descarga,577,,descarga
12,4,2º8ª descarga,6526,,descarga
13,5,2º8ª descarga,7582,,descarga
14,2,2º9ª descarga,7706,,descarga
13,2,2º9ª descarga,6741,,descarga
10,2,2º9ª descarga,3908,,descarga
9,3,Preparacion quincenal,2204,,descarga
14,4,Preparación quincenal,3938,,descarga
11,5,Preparación quincenal,1737,,descarga
4,1,Preparación quincenal,8990,,descarga
6,3,Preparación quincenal,949,,descarga
13,2,Preparación quincenal,7376,,descarga
5,3,Preparación semana,949,,descarga
10,3,Preparacion semanal,2204,,descarga
3,4,Preparación semanal,2796,,descarga
13,1,Preparación semanal,430,,descarga
14,1,Preparación semanal,430,,descarga
7,4,Preparación semanal,2941,,descarga
16,2,Preparación semanal,648,,descarga
12,1,Preparación semanal,1346,,descarga
10,1,Preparación semanal,894,,descarga
13,3,Preparación semanal,894,,descarga
14,3,Preparación semanal,894,,descarga
12,1,Preparación semanal,8951,,descarga
4,4,Preparación semanal,2173,,descarga
11,5,Preparación semanal,6515,,descarga
12,5,Preparación semanal,6515,,descarga
3,2,Preparación semanal,2575,,descarga
1,2,Preparación semanal,905,,descarga
2,2,Preparación semanal,905,,descarga
3,3,Preparación semanal,905,,descarga
4,3,Preparación semanal,905,,descarga
15,2,Preparación semanal,8882,,descarga
16,2,Preparación semanal,8882,,descarga
15,5,Preparación semanal,8882,,descarga
12,3,Preparación semanal,2550,,descarga
5,2,Preparación semanal,8990,,descarga
9,1,Preparación semanal,9394,,descarga
6,2,Preparación semanal,8990,,descarga
3,5,Preparación semanal,1346,,descarga
1,1,Preparación semanal,7763,,descarga
14,2,Preparación semanal,7376,,descarga
14,1,Preparación semanal,9267,,descarga
14,3,Preparación semanal,9267,,descarga
1,2,Preparación semanal,8726,,descarga
2,2,Preparación semanal,8726,,descarga
3,3,Preparación semanal,8726,,descarga
4,3,Preparación semanal,8726,,descarga
1,4,1º26ª descarga,8989,,descarga
2,4,1º29ª descarga,8989,,descarga
1,1,1º1ª descarga,8989,,descarga
2,1,1º7ª descarga,8989,,descarga
1,3,1º9ª descarga,8989,,descarga
2,3,1º18ª descarga,8989,,descarga
3,3,1º20ª descarga,8989,,descarga
4,3,1º23ª descarga,8989,,descarga
9,2,3º10ª descarga,7381,,descarga
10,2,3º11ª descarga,7381,,descarga
11,2,3º12ª descarga,7381,,descarga
12,2,3º13ª descarga,7381,,descarga
15,3,3º14ª descarga,7381,,descarga
16,3,3º15ª descarga,7381,,descarga
15,5,3º16ª descarga,7381,,descarga
16,5,3º18ª descarga,7381,,descarga
1,1,3º1ª descarga,648,,descarga
2,1,3º7ª descarga,648,,descarga
5,1,1º9ª descarga,7474,,descarga
13,3,2º23ª descarga,7474,,descarga
14,3,2º24ª descarga,7474,,descarga
13,3,3º14ª descarga,8793,,descarga
14,3,3º15ª descarga,8793,,descarga
5,1,3º5ª descarga,9394,,descarga
15,4,3º16ª descarga,3628,,descarga
16,4,3º17ª descarga,3628,,descarga
13,4,3º11ª descarga,8990,,descarga
14,4,3º12ª descarga,8990,,descarga
1,1,3º1ª descarga,1291,,descarga
2,1,3º2ª descarga,1291,,descarga
1,2,3º3ª descarga,1291,,descarga
2,2,3º4ª descarga,1291,,descarga
3,2,3º5ª descarga,1291,,descarga
4,2,3º6ª descarga,1291,,descarga
3,3,3º7ª descarga,1291,,descarga
4,3,3º8ª descarga,1291,,descarga
7,1,3º6ª descarga,9236,,descarga
10,1,2º2ª descarga,9236,,descarga
10,2,2º23ª descarga,9236,,descarga
10,3,2º24ª descarga,9236,,descarga
10,4,3º11ª descarga,9236,,descarga
13,4,3º14ª descarga,9236,,descarga
14,4,3º15ª descarga,9236,,descarga
15,2,3º18ª descarga,9236,,descarga
13,1,3º9ª descarga,6323,,descarga
14,1,3º10ª descarga,6323,,descarga
15,3,3º11ª descarga,6323,,descarga
16,3,3º13ª descarga,6323,,descarga
9,4,3º14ª descarga,6323,,descarga
10,4,3º16ª descarga,6323,,descarga
11,4,3º17ª descarga,6323,,descarga
12,4,3º19ª descarga,6323,,descarga
3,5,1º11ª descarga,9083,,descarga
4,5,1º29ª descarga,9083,,descarga
13,1,2º3ª descarga,9083,,descarga
14,1,2º12ª descarga,9083,,descarga
11,3,2º17ª descarga,9083,,descarga
12,3,2º24ª descarga,9083,,descarga
2,2,3º3ª descarga,2782,,descarga
1,3,3º4ª descarga,2782,,descarga
2,3,3º5ª descarga,2782,,descarga
3,1,1º14ª descarga,6996,,descarga
4,1,1º18ª descarga,6996,,descarga
5,1,1º21ª descarga,6996,,descarga
6,1,1º28ª descarga,6996,,descarga
7,3,1º29ª descarga,6996,,descarga
8,3,3º3ª descarga,6996,,descarga
3,4,3º4ª descarga,6996,,descarga
4,4,3º6ª descarga,6996,,descarga
8,5,1º28ª descarga,6556,,descarga
5,4,3º1ª descarga,9267,,descarga
6,4,3º2ª descarga,9267,,descarga
5,5,3º7ª descarga,9267,,descarga
6,5,3º8ª descarga,9267,,descarga
11,1,3º9ª descarga,851,,descarga
12,1,3º10ª descarga,851,,descarga
13,2,3º13ª descarga,851,,descarga
14,2,3º17ª descarga,851,,descarga
15,2,3º18ª descarga,851,,descarga
16,2,3º16ª descarga,851,,descarga
15,3,3º19ª descarga,851,,descarga
9,2,3º11ª descarga,3908,,descarga
10,5,3º18ª descarga,3908,,descarga
12,1,3º9ª descarga,9400,,descarga
12,2,3º17ª descarga,9400,,descarga
12,3,3º19ª descarga,9400,,descarga
12,4,3º20ª descarga,9400,,descarga
12,5,3º18ª descarga,9400,,descarga
13,2,3º14ª descarga,8445,,descarga
14,2,3º15ª descarga,8445,,descarga
11,5,3º16ª descarga,8445,,descarga
12,5,3º19ª descarga,8445,,descarga
9,3,3º16ª descarga,6515,,descarga
16,5,3º17ª descarga,6515,,descarga
2,1,3º3ª descarga,949,,descarga
7,1,3º4ª descarga,949,,descarga
8,1,3º6ª descarga,949,,descarga
15,1,3º9ª descarga,2797,,descarga
16,1,3º10ª descarga,2797,,descarga
15,3,3º12ª descarga,2797,,descarga
16,3,3º13ª descarga,2797,,descarga
13,4,3º14ª descarga,2797,,descarga
14,4,3º15ª descarga,2797,,descarga
15,5,3º18ª descarga,2797,,descarga
16,5,3º19ª descarga,2797,,descarga
13,4,3º20ª descarga,8726,,descarga
