Fecha examen,Cve. Empleado,Hora inicio,Hora Fin
20/05/2013,8182,07:00,08:30
20/05/2013,8182,07:00,08:30
20/05/2013,2780,07:00,08:30
20/05/2013,8461,07:00,08:30
20/05/2013,1737,07:00,08:30
21/05/2013,8461,07:00,08:30
21/05/2013,2796,07:00,08:30
21/05/2013,7969,07:00,08:30
21/05/2013,8261,07:00,08:30
21/05/2013,905,07:00,08:30
21/05/2013,7763,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,8455,07:00,08:30
21/05/2013,2575,07:00,08:30
21/05/2013,8177,07:00,08:30
21/05/2013,8455,07:00,08:30
21/05/2013,9086,07:00,08:30
21/05/2013,6178,07:00,08:30
21/05/2013,6822,07:00,08:30
21/05/2013,2170,07:00,08:30
21/05/2013,2941,07:00,08:30
21/05/2013,9105,07:00,08:30
21/05/2013,9116,07:00,08:30
21/05/2013,1234,07:00,08:30
21/05/2013,6313,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,8281,07:00,08:30
21/05/2013,9108,07:00,08:30
21/05/2013,6996,07:00,08:30
21/05/2013,6691,07:00,08:30
21/05/2013,8989,07:00,08:30
21/05/2013,2891,07:00,08:30
21/05/2013,3938,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,8991,07:00,08:30
21/05/2013,1654,07:00,08:30
22/05/2013,6556,07:00,08:30
22/05/2013,9086,07:00,08:30
22/05/2013,9116,07:00,08:30
22/05/2013,9107,07:00,08:30
22/05/2013,8455,07:00,08:30
22/05/2013,3938,07:00,08:30
22/05/2013,8991,07:00,08:30
22/05/2013,2961,07:00,08:30
22/05/2013,8989,07:00,08:30
22/05/2013,8461,07:00,08:30
22/05/2013,8692,07:00,08:30
22/05/2013,6178,07:00,08:30
22/05/2013,1234,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,7955,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,6870,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,905,07:00,08:30
22/05/2013,2796,07:00,08:30
22/05/2013,8261,07:00,08:30
22/05/2013,7969,07:00,08:30
22/05/2013,7763,07:00,08:30
22/05/2013,2575,07:00,08:30
22/05/2013,2941,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,8177,07:00,08:30
22/05/2013,8950,07:00,08:30
22/05/2013,6341,07:00,08:30
22/05/2013,1654,07:00,08:30
22/05/2013,8281,07:00,08:30
22/05/2013,8281,07:00,08:30
22/05/2013,6691,07:00,08:30
13/05/2013,648,14:00,15:30
13/05/2013,8182,14:00,15:30
13/05/2013,8882,14:00,15:30
13/05/2013,1346,14:00,15:30
13/05/2013,8951,14:00,15:30
13/05/2013,6881,14:00,15:30
13/05/2013,6741,14:00,15:30
13/05/2013,2888,14:00,15:30
13/05/2013,6526,14:00,15:30
13/05/2013,1737,14:00,15:30
13/05/2013,8990,14:00,15:30
13/05/2013,430,14:00,15:30
13/05/2013,6515,14:00,15:30
13/05/2013,7761,14:00,15:30
13/05/2013,9394,14:00,15:30
13/05/2013,2780,14:00,15:30
13/05/2013,2364,14:00,15:30
13/05/2013,3908,14:00,15:30
13/05/2013,7379,14:00,15:30
13/05/2013,6556,14:00,15:30
13/05/2013,2550,14:00,15:30
13/05/2013,8701,14:00,15:30
13/05/2013,8460,14:00,15:30
13/05/2013,9033,14:00,15:30
13/05/2013,7474,14:00,15:30
13/05/2013,7955,14:00,15:30
14/05/2013,6515,14:00,15:30
14/05/2013,2888,14:00,15:30
14/05/2013,6526,14:00,15:30
14/05/2013,7379,14:00,15:30
14/05/2013,577,14:00,15:30
14/05/2013,2550,14:00,15:30
14/05/2013,7474,14:00,15:30
14/05/2013,9964,14:00,15:30
14/05/2013,7972,14:00,15:30
14/05/2013,2780,14:00,15:30
14/05/2013,6741,14:00,15:30
14/05/2013,430,14:00,15:30
14/05/2013,894,14:00,15:30
14/05/2013,648,14:00,15:30
14/05/2013,9033,14:00,15:30
14/05/2013,8701,14:00,15:30
14/05/2013,6881,14:00,15:30
14/05/2013,2173,14:00,15:30
14/05/2013,8951,14:00,15:30
14/05/2013,1346,14:00,15:30
14/05/2013,9138,14:00,15:30
14/05/2013,2473,14:00,15:30
14/05/2013,8182,14:00,15:30
14/05/2013,8182,14:00,15:30
14/05/2013,3938,14:00,15:30
14/05/2013,7763,14:00,15:30
16/05/2013,6526,14:00,15:30
16/05/2013,430,14:00,15:30
16/05/2013,894,14:00,15:30
16/05/2013,2550,14:00,15:30
16/05/2013,7098,14:00,15:30
16/05/2013,8951,14:00,15:30
16/05/2013,2173,14:00,15:30
16/05/2013,2891,14:00,15:30
16/05/2013,9138,14:00,15:30
16/05/2013,9033,14:00,15:30
16/05/2013,7474,14:00,15:30
16/05/2013,2888,14:00,15:30
16/05/2013,7582,14:00,15:30
16/05/2013,2780,14:00,15:30
16/05/2013,9394,14:00,15:30
16/05/2013,8701,14:00,15:30
16/05/2013,6881,14:00,15:30
16/05/2013,648,14:00,15:30
16/05/2013,577,14:00,15:30
16/05/2013,9964,14:00,15:30
16/05/2013,1346,14:00,15:30
16/05/2013,2473,14:00,15:30
16/05/2013,2406,14:00,15:30
16/05/2013,3908,14:00,15:30
16/05/2013,6741,14:00,15:30
16/05/2013,8466,14:00,15:30
17/05/2013,2888,14:00,15:30
17/05/2013,3841,14:00,15:30
17/05/2013,9138,14:00,15:30
17/05/2013,7582,14:00,15:30
17/05/2013,838,14:00,15:30
17/05/2013,8951,14:00,15:30
17/05/2013,8882,14:00,15:30
17/05/2013,6515,14:00,15:30
17/05/2013,648,14:00,15:30
17/05/2013,577,14:00,15:30
17/05/2013,6741,14:00,15:30
17/05/2013,7761,14:00,15:30
17/05/2013,7379,14:00,15:30
17/05/2013,6526,14:00,15:30
17/05/2013,9964,14:00,15:30
17/05/2013,3908,14:00,15:30
