id empleado;numAula;semestre;dia;Fecha;hora ini;hora fin
2941;21;1;4;27/10/2012;07:00;08:20
2941;21;1;3;26/09/2012;07:00;08:20
2575;21;1;3;26/09/2012;07:00;08:20
7763;21;1;3;26/09/2012;07:00;08:20
6556;21;1;1;24/09/2012;07:00;08:20
6996;21;1;2;25/09/2012;07:00;08:20
6313;21;1;5;28/10/2012;07:00;08:20
2796;22;1;4;27/10/2012;07:00;08:20
6691;22;1;2;25/09/2012;07:00;08:20
6870;22;1;1;24/09/2012;07:00;08:20
6870;22;1;5;28/10/2012;07:00;08:20
3841;23;1;2;25/09/2012;07:00;08:20
8177;23;1;3;26/09/2012;07:00;08:20
3938;23;1;1;24/09/2012;07:00;08:20
3938;23;1;4;27/10/2012;07:00;08:20
3938;23;1;5;28/10/2012;07:00;08:20
2891;24;1;2;25/09/2012;07:00;08:20
8692;24;1;4;27/10/2012;07:00;08:20
2170;24;1;5;28/10/2012;07:00;08:20
8726;25;1;5;28/10/2012;07:00;08:20
8261;25;1;5;28/10/2012;07:00;08:20
905;25;1;5;28/10/2012;07:00;08:20
3938;25;1;2;25/09/2012;07:00;08:20
6341;25;1;3;26/09/2012;07:00;08:20
2482;25;1;4;27/10/2012;07:00;08:20
6870;26;1;2;25/09/2012;07:00;08:20
1654;26;1;3;26/09/2012;07:00;08:20
1234;26;1;5;28/10/2012;07:00;08:20
6312;26;1;1;24/09/2012;07:00;08:20
8281;27;1;3;26/09/2012;07:00;08:20
9108;27;1;3;26/09/2012;07:00;08:20
6877;27;1;1;24/09/2012;07:00;08:20
8692;27;1;2;25/09/2012;07:00;08:20
9086;27;1;4;27/10/2012;07:00;08:20
6877;27;1;5;28/10/2012;07:00;08:20
6554;1;5;2;25/09/2012;07:00;08:20
9107;1;5;4;27/10/2012;07:00;08:20
6827;1;5;1;24/09/2012;07:00;08:20
6827;1;5;3;26/09/2012;07:00;08:20
648;2;5;1;24/09/2012;07:00;08:20
648;2;5;2;25/09/2012;07:00;08:20
648;2;5;3;26/09/2012;07:00;08:20
6827;2;5;5;28/10/2012;07:00;08:20
8950;3;5;2;25/09/2012;07:00;08:20
1291;3;5;5;28/10/2012;07:00;08:20
9976;3;5;3;26/09/2012;07:00;08:20
9976;3;5;4;27/10/2012;07:00;08:20
9244;4;5;5;28/10/2012;07:00;08:20
8950;4;5;3;26/09/2012;07:00;08:20
1291;4;5;4;27/10/2012;07:00;08:20
9976;4;5;1;24/09/2012;07:00;08:20
9116;5;5;3;26/09/2012;07:00;08:20
8989;5;5;4;27/10/2012;07:00;08:20
2563;5;5;5;28/10/2012;07:00;08:20
2943;5;5;1;24/09/2012;07:00;08:20
2943;5;5;2;25/09/2012;07:00;08:20
6554;6;5;5;28/10/2012;07:00;08:20
2943;6;5;3;26/09/2012;07:00;08:20
2943;6;5;4;27/10/2012;07:00;08:20
8808;6;5;1;24/09/2012;07:00;08:20
